index;ID;author;title;year;frequency;degree;betweenness;closeness
136;136;Grillparzer, Franz;Weh dem, der lügt!;1838;LEON;LEON;LEON;LEON
436;436;Wedekind, Frank;Die Büchse der Pandora;1902;SEVERAL;SEVERAL;SEVERAL;SEVERAL
322;322;Bleibtreu, Karl;Ein Faust der That;1889;SEVERAL;SEVERAL;SEVERAL;SEVERAL
275;275;Zschokke, Heinrich;Abellino;1795;DOGE;DOGE;DOGE;DOGE
207;207;Thoma, Ludwig;Lottchens Geburtstag;1911;SEVERAL;SEVERAL;SEVERAL;SEVERAL
28;28;Nestroy, Johann;Zu ebener Erde und erster Stock oder Die Launen des Glückes;1835;DAMIAN;JOHANN;SEPHERL;JOHANN
230;230;Neuber, Friederike Caroline;Die Verehrung der Vollkommenheit durch die gebesserten deutschen Schauspiele;1737;SEVERAL;SEVERAL;SEVERAL;SEVERAL
302;302;Schäfer, Wilhelm;Faustine, der weibliche Faust;1898;FAUSTINE;SEVERAL;FAUSTINE;FAUSTINE
132;132;Rubiner, Ludwig;Die Gewaltlosen;1919;DER MANN;DER MANN;DER MANN;DER MANN
137;137;Wilbrandt, Adolf von;Der Meister von Palmyra;1889;APELLES;APELLES;APELLES;APELLES
222;222;Lessing, Gotthold Ephraim;Die Juden;1749;DER REISENDE;SEVERAL;MARTIN KRUMM;SEVERAL
447;447;Leisewitz, Johann Anton;Der Besuch um Mitternacht;1774;SEVERAL;SEVERAL;SEVERAL;SEVERAL
191;191;Wedekind, Frank;König Nicolo oder So ist das Leben;1902;SEVERAL;SEVERAL;PRINZESSIN ALMA;SEVERAL
197;197;L'Arronge, Adolph;Mein Leopold;1876;WEIGELT;MINNA;MINNA;MINNA
231;231;Scheerbart, Paul;Rübezahl;1904;RÜBEZAHL;RÜBEZAHL;RÜBEZAHL;RÜBEZAHL
1;1;Goethe, Johann Wolfgang von;Iphigenie auf Tauris;1787;IPHIGENIE;SEVERAL;SEVERAL;SEVERAL
281;281;Kotzebue, August von;Die beiden Klingsberg;1801;GRAF;GRAF;GRAF;GRAF
379;379;Lessing, Gotthold Ephraim;Der Freigeist;1755;ADRAST;SEVERAL;SEVERAL;SEVERAL
332;332;Scheerbart, Paul;Der Schornsteinfeger;1904;SEVERAL;SEVERAL;SEVERAL;SEVERAL
457;457;Moser, Gustav von;Das Stiftungsfest;1862;BOLZAU;LUDMILLA;LUDMILLA;LUDMILLA
161;161;Hofmannsthal, Hugo von;Das Bergwerk zu Falun;1899;ELIS;ELIS;ELIS;ELIS
309;309;Hebbel, Friedrich;Maria Magdalene;1844;KLARA;KLARA;KLARA;KLARA
93;93;Kaiser, Friedrich;Die Schule des Armen oder Zwei Millionen;1847;ROBERT;CHRISTOPH;CHRISTOPH;CHRISTOPH
434;434;Iffland, August Wilhelm;Figaro in Deutschland;1790;FIGARO;HYAZINTH;HYAZINTH;HYAZINTH
166;166;Wagner, Richard;Tristan und Isolde;1859;ISOLDE;SEVERAL;SEVERAL;SEVERAL
335;335;Eichendorff, Joseph von;Das Incognito oder Die mehreren Könige oder Alt und Neu;1843;SEVERAL;KÖNIG;KÖNIG;KÖNIG
